No,Code,Type of cell
JH_01,NHA,Astrocytes
JH_02,NHBE,Bronchial Epithelial Cells
JH_03,NHAC-kn,Articular Chondrocytes
JH_04,HUVEC,Umbilical Vein Endothelial cells
JH_05,HMVEC-L,Microvascular Endothelial cells
JH_06,NHDF-Ad,Dermal Fibroblast_Adult
JH_07,NHDF-Neo,Dermal Fibroblast_Neo
JH_08,NHCF-V,Cardiac Fibroblasts
JH_10,NHEK-Adult,Epidermal Keratinocytes_Adult
JH_11,NHEK-Neo,Epidermal Keratinocytes_Neo
JH_12,NHEM-Ad,Melanocyte
JH_13,HMEC,Mammary Epithelial Cells
JH_14,NHMC,Mesangial Cells
JH_15,NHOst,Osteoblasts
JH_16,PrEC,Prostate Epithelial Cells
JH_17,HRCE,Renal Cortical Epithelial Cells 
JH_18,HRE,Renal Epithelial Cells
JH_19,RPTEC,Renal Proximal Tubule Cells
JH_20,H-RPE,Retinal Pigment Epithelial Cells
JH_21,AoAF,Aortic Adventitial Fibroblasts
JH_22,HPdLF,Perio. Ligament Fibroblasts
JH_23,PrSC,Prostate Stromal Cells
JH_24,HSMM,Skeletal Muscle Myoblasts
JH_25,SkMC,Skeletal Muscle Cells
JH_26,AoSMC,Aortic Smooth Muscle Cells
JH_27,InEpC,Intestinal Epithelial Cells
JH_28,InMyoFib,Myofibroblasts
JH_29,PrSMC,Prostate Smooth Muscle Cells
JH_30,BdSMC,Smooth Muscle Cells
JH_31,HAEC,Aortic endothelial cells
JH-42,DA neuron,DA neuron
JH-46,Cortical neuron,Cortical neuron
